cancer_type,n_mut.SNP_in,n_mut.SNP_out,maf_targeted_seq,SBS1,SBS2,SBS5,SBS7a,SBS7d,SBS8,SBS12,SBS13,SBS16,SBS17a,SBS17b,SBS19,SBS20,SBS21,SBS22,SBS30
Breast.Cancer,22945,4007,NA,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0
Breast.Cancer,24430,4402,NA,0,22,0,0,28,17,0,0,0,0,0,13,0,13,34,2
Breast.Cancer,28602,3926,NA,244,17,173,0,19,0,152,42,0,34,17,45,0,82,89,184
Breast.Cancer,22951,3746,NA,15,0,0,0,0,24,1,8,0,8,0,96,0,0,1,0
Breast.Cancer,26095,4096,NA,77,45,0,60,84,0,0,0,0,0,3,70,29,0,51,0
Breast.Cancer,34725,4500,NA,502,62,658,0,2,275,261,10,194,0,0,167,48,0,25,310
Breast.Cancer,27328,4436,NA,137,28,0,0,31,82,0,0,0,0,11,0,0,0,6,122
Breast.Cancer,28638,4462,NA,156,35,486,0,90,63,0,0,65,0,0,112,96,0,21,0
Breast.Cancer,31333,4774,NA,299,67,1098,0,0,72,260,26,0,0,0,0,87,0,7,0
Breast.Cancer,26475,3624,5.30E-03,132,64,0,0,0,0,0,0,10,0,0,16,0,0,0,224
Breast.Cancer,24281,3620,NA,45,0,0,64,87,3,74,27,74,18,1,88,0,0,3,10
Breast.Cancer,24986,3566,3.20E-03,0,23,0,26,61,0,112,0,0,0,0,0,0,61,26,135
Breast.Cancer,17787,2950,1.80E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.Cancer,19659,3698,NA,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Breast.Cancer,28814,3696,6.80E-03,306,50,0,0,7,0,346,5,90,0,0,104,0,0,32,379
Breast.Cancer,25618,3375,NA,41,34,13,0,0,0,43,0,0,25,0,0,0,0,11,77
Breast.Cancer,23872,3522,NA,150,42,0,38,0,0,129,0,12,29,0,6,40,0,27,69
Breast.Cancer,27959,4101,4.40E-03,285,68,1009,0,0,24,294,0,0,27,4,45,27,3,8,342
Breast.Cancer,23111,3307,NA,44,97,0,0,32,0,0,12,7,52,8,33,0,7,0,19
Breast.Cancer,29987,3846,NA,297,58,881,0,59,0,219,0,0,0,4,129,0,0,50,211
Breast.Cancer,27545,4043,NA,137,0,642,44,0,0,0,12,0,36,0,17,0,0,16,299
Breast.Cancer,23360,3503,3.60E-03,29,18,190,0,57,0,68,0,0,0,3,15,0,0,0,176
Breast.Cancer,28433,4210,1.00E-03,368,36,48,146,19,0,217,0,27,0,0,21,31,0,47,319
Breast.Cancer,24544,3542,2.70E-03,176,60,257,70,0,0,310,6,0,0,11,0,0,0,17,281
Breast.Cancer,21342,3428,1.20E-03,0,0,0,8,0,1,0,0,0,0,0,0,0,0,4,0
Breast.Cancer,26700,3758,1.20E-03,146,60,95,29,28,0,42,13,44,5,0,6,0,10,50,199
Breast.Cancer,22560,3541,2.80E-03,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breast.Cancer,23122,3576,4.50E-03,52,53,0,0,0,0,0,0,47,43,0,0,0,0,0,0
Breast.Cancer,19799,3210,3.80E-03,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0
Breast.Cancer,28373,3705,NA,154,43,221,22,0,0,225,14,22,35,12,98,15,0,40,137
Breast.Cancer,28070,3887,2.00E-03,65,106,341,0,43,0,0,0,0,26,7,140,0,0,30,8
Breast.Cancer,28910,4156,NA,388,49,327,0,18,121,356,5,22,0,25,80,0,1,36,471
Breast.Cancer,25810,3612,NA,134,70,194,20,0,0,121,0,2,0,15,85,0,0,11,26
Breast.Cancer,22870,3602,NA,0,59,0,0,0,0,0,0,0,0,11,5,0,0,5,0
Breast.Cancer,22001,3053,2.50E-03,48,18,0,76,12,0,102,3,75,39,8,87,0,0,8,0
Breast.Cancer,23051,3268,NA,50,0,0,66,27,0,152,0,0,5,7,70,0,0,10,0
Breast.Cancer,26764,3510,1.30E-03,147,113,379,0,99,0,106,9,0,0,1,0,0,0,39,40
Colorectal.Cancer,34682,1322,0.2285,0,20,0,95,0,0,53,49,171,0,10,0,0,0,4,0
Colorectal.Cancer,31934,943,1.41E-02,0,17,0,8,0,0,5,0,0,0,19,0,0,3,7,0
Colorectal.Cancer,25172,3640,3.50E-03,155,50,0,62,0,0,162,20,86,56,0,28,36,0,31,77
Colorectal.Cancer,31870,1147,1.70E-03,0,32,0,14,0,0,0,4,0,0,5,0,0,0,10,0
Colorectal.Cancer,26004,3782,NA,3,45,0,0,93,0,221,20,0,32,0,19,0,0,0,0
Colorectal.Cancer,32131,3953,NA,333,63,154,0,0,103,556,6,82,4,0,204,12,0,98,308
Colorectal.Cancer,23417,3306,NA,99,35,0,0,19,0,0,35,0,54,0,26,0,0,12,0
Colorectal.Cancer,32744,1345,2.10E-03,0,47,0,0,0,20,10,0,0,0,1,0,0,2,13,0
Colorectal.Cancer,30659,4187,1.20E-03,236,40,455,0,49,0,0,46,82,47,0,209,73,0,87,175
Colorectal.Cancer,36011,1621,2.70E-03,119,63,0,26,0,0,0,0,100,0,7,0,0,62,38,182
Colorectal.Cancer,28940,4374,8.02E-02,363,135,489,24,34,15,41,15,0,0,26,13,0,0,90,308
Colorectal.Cancer,26014,3811,5.60E-03,270,48,309,97,61,0,295,58,0,80,15,142,23,2,0,89
Colorectal.Cancer,25077,3816,1.10E-03,216,34,312,0,0,0,112,14,20,30,14,90,0,0,0,306
Colorectal.Cancer,22677,3301,NA,0,65,502,0,3,0,0,0,0,0,0,0,0,0,15,109
Colorectal.Cancer,34452,1371,2.70E-03,170,77,0,0,0,0,0,9,112,42,0,0,0,0,17,61
Colorectal.Cancer,38822,2000,6.52E-02,413,29,459,0,0,0,0,0,43,0,3,105,20,28,75,106
Colorectal.Cancer,37797,1670,3.60E-03,383,6,467,0,68,0,203,44,33,0,12,17,0,140,34,337
Colorectal.Cancer,35310,1310,NA,115,24,0,0,0,0,0,18,2,0,0,47,16,56,41,123
Colorectal.Cancer,33909,4116,1.10E-03,368,79,685,32,51,0,376,0,0,0,9,111,45,0,109,0
Colorectal.Cancer,35576,1356,6.40E-03,145,66,0,0,0,0,0,0,0,0,12,0,0,86,1,210
Colorectal.Cancer,22946,3382,1.90E-03,175,0,0,13,0,0,0,0,77,0,7,84,0,31,1,197
Colorectal.Cancer,27486,3788,2.00E-03,386,71,0,0,143,0,161,0,90,86,13,67,0,0,29,364
Colorectal.Cancer,24985,4301,0.4303,29,67,0,0,16,0,206,0,0,5,20,0,25,72,0,149
Colorectal.Cancer,31175,5288,0.8161,253,45,324,8,105,162,0,35,15,0,0,130,83,0,59,201
Colorectal.Cancer,28751,5016,0.36,34,145,49,0,0,41,24,8,93,0,0,94,0,0,0,24
Colorectal.Cancer,28764,4354,NA,194,0,541,139,85,0,49,0,119,58,2,20,9,0,0,98
Colorectal.Cancer,28738,4673,0.3072,228,33,976,0,0,0,134,8,0,8,1,78,0,0,35,142
